id;name;height;weight;hp;attack;defense;s_attack;s_defense;speed;type;evo_set;info;text_basic;height_text;weight_text;hp_text;attack_text;defense_text;s_attack_text;s_defense_text;speed_text;full_text
1;bulbasaur;7;69;45;49;49;65;65;45;{grass,poison};1;A strange seed was planted on its back at birth. The plant sprouts and grows with this POKÈMON.;bulbasaur: A strange seed was planted on its back at birth. The plant sprouts and grows with this POKÈMON.;Bulbasaur is 7 decimeters tall.;Bulbasaur weighs 69 hectograms.;Bulbasaur has 45 HP.;Bulbasaur has 49 attack points.;Bulbasaur has 49 defense points.;Bulbasaur has 65 special attack.;Bulbasaur has 65 special defense.;Bulbasaur has 45 speed.;bulbasaur: A strange seed was planted on its back at birth. The plant sprouts and grows with this POKÈMON. bulbasaur is 7 decimeters tall. bulbasaur weighs 69 hectograms. bulbasaur has 45 HP. bulbasaur has 49 attack points. bulbasaur has 49 defense points. bulbasaur has 65 special attack. bulbasaur has 65 special defense. bulbasaur has 45 speed.
2;ivysaur;10;130;60;62;63;80;80;60;{grass,poison};1;When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.;ivysaur: When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.;Ivysaur is 10 decimeters tall.;Ivysaur weighs 130 hectograms.;Ivysaur has 60 HP.;Ivysaur has 62 attack points.;Ivysaur has 63 defense points.;Ivysaur has 80 special attack.;Ivysaur has 80 special defense.;Ivysaur has 60 speed.;ivysaur: When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs. ivysaur is 10 decimeters tall. ivysaur weighs 130 hectograms. ivysaur has 60 HP. ivysaur has 62 attack points. ivysaur has 63 defense points. ivysaur has 80 special attack. ivysaur has 80 special defense. ivysaur has 60 speed.
3;venusaur;20;1000;80;82;83;100;100;80;{grass,poison};1;The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.;venusaur: The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.;Venusaur is 20 decimeters tall.;Venusaur weighs 1000 hectograms.;Venusaur has 80 HP.;Venusaur has 82 attack points.;Venusaur has 83 defense points.;Venusaur has 100 special attack.;Venusaur has 100 special defense.;Venusaur has 80 speed.;venusaur: The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight. venusaur is 20 decimeters tall. venusaur weighs 1000 hectograms. venusaur has 80 HP. venusaur has 82 attack points. venusaur has 83 defense points. venusaur has 100 special attack. venusaur has 100 special defense. venusaur has 80 speed.
4;charmander;6;85;39;52;43;60;50;65;{fire};2;Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.;charmander: Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.;Charmander is 6 decimeters tall.;Charmander weighs 85 hectograms.;Charmander has 39 HP.;Charmander has 52 attack points.;Charmander has 43 defense points.;Charmander has 60 special attack.;Charmander has 50 special defense.;Charmander has 65 speed.;charmander: Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail. charmander is 6 decimeters tall. charmander weighs 85 hectograms. charmander has 39 HP. charmander has 52 attack points. charmander has 43 defense points. charmander has 60 special attack. charmander has 50 special defense. charmander has 65 speed.
5;charmeleon;11;190;58;64;58;80;65;80;{fire};2;When it swings its burning tail, it elevates the temperature to unbearably high levels.;charmeleon: When it swings its burning tail, it elevates the temperature to unbearably high levels.;Charmeleon is 11 decimeters tall.;Charmeleon weighs 190 hectograms.;Charmeleon has 58 HP.;Charmeleon has 64 attack points.;Charmeleon has 58 defense points.;Charmeleon has 80 special attack.;Charmeleon has 65 special defense.;Charmeleon has 80 speed.;charmeleon: When it swings its burning tail, it elevates the temperature to unbearably high levels. charmeleon is 11 decimeters tall. charmeleon weighs 190 hectograms. charmeleon has 58 HP. charmeleon has 64 attack points. charmeleon has 58 defense points. charmeleon has 80 special attack. charmeleon has 65 special defense. charmeleon has 80 speed.
6;charizard;17;905;78;84;78;109;85;100;{fire,flying};2;Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.;charizard: Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.;Charizard is 17 decimeters tall.;Charizard weighs 905 hectograms.;Charizard has 78 HP.;Charizard has 84 attack points.;Charizard has 78 defense points.;Charizard has 109 special attack.;Charizard has 85 special defense.;Charizard has 100 speed.;charizard: Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally. charizard is 17 decimeters tall. charizard weighs 905 hectograms. charizard has 78 HP. charizard has 84 attack points. charizard has 78 defense points. charizard has 109 special attack. charizard has 85 special defense. charizard has 100 speed.
7;squirtle;5;90;44;48;65;50;64;43;{water};3;After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.;squirtle: After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.;Squirtle is 5 decimeters tall.;Squirtle weighs 90 hectograms.;Squirtle has 44 HP.;Squirtle has 48 attack points.;Squirtle has 65 defense points.;Squirtle has 50 special attack.;Squirtle has 64 special defense.;Squirtle has 43 speed.;squirtle: After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth. squirtle is 5 decimeters tall. squirtle weighs 90 hectograms. squirtle has 44 HP. squirtle has 48 attack points. squirtle has 65 defense points. squirtle has 50 special attack. squirtle has 64 special defense. squirtle has 43 speed.
8;wartortle;10;225;59;63;80;65;80;58;{water};3;Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.;wartortle: Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.;Wartortle is 10 decimeters tall.;Wartortle weighs 225 hectograms.;Wartortle has 59 HP.;Wartortle has 63 attack points.;Wartortle has 80 defense points.;Wartortle has 65 special attack.;Wartortle has 80 special defense.;Wartortle has 58 speed.;wartortle: Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance. wartortle is 10 decimeters tall. wartortle weighs 225 hectograms. wartortle has 59 HP. wartortle has 63 attack points. wartortle has 80 defense points. wartortle has 65 special attack. wartortle has 80 special defense. wartortle has 58 speed.
9;blastoise;16;855;79;83;100;85;105;78;{water};3;A brutal POKÈMON with pressurized water jets on its shell. They are used for high speed tackles.;blastoise: A brutal POKÈMON with pressurized water jets on its shell. They are used for high speed tackles.;Blastoise is 16 decimeters tall.;Blastoise weighs 855 hectograms.;Blastoise has 79 HP.;Blastoise has 83 attack points.;Blastoise has 100 defense points.;Blastoise has 85 special attack.;Blastoise has 105 special defense.;Blastoise has 78 speed.;blastoise: A brutal POKÈMON with pressurized water jets on its shell. They are used for high speed tackles. blastoise is 16 decimeters tall. blastoise weighs 855 hectograms. blastoise has 79 HP. blastoise has 83 attack points. blastoise has 100 defense points. blastoise has 85 special attack. blastoise has 105 special defense. blastoise has 78 speed.
10;caterpie;3;29;45;30;35;20;20;45;{bug};4;Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.;caterpie: Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.;Caterpie is 3 decimeters tall.;Caterpie weighs 29 hectograms.;Caterpie has 45 HP.;Caterpie has 30 attack points.;Caterpie has 35 defense points.;Caterpie has 20 special attack.;Caterpie has 20 special defense.;Caterpie has 45 speed.;caterpie: Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls. caterpie is 3 decimeters tall. caterpie weighs 29 hectograms. caterpie has 45 HP. caterpie has 30 attack points. caterpie has 35 defense points. caterpie has 20 special attack. caterpie has 20 special defense. caterpie has 45 speed.
